Longitude = 20.813deg Latitude = -32.383deg
Date Time MountAz MountAlt ActualAz ActualAlt
2025-09-25T22:35:08.095 00:18:10.83 00:12:51.687 -31:53:47.38 2.87945722637 -32.00005259 
2025-09-25T21:00:21.314 22:43:08.80 02:16:13.056 -00:38:23.89 33.6531273489 -0.77185596076 
2025-09-26T00:10:26.363 01:53:44.99 01:34:51.748 +10:36:04.44 23.3670258164 10.4471334358 
2025-09-25T20:57:12.311 22:39:59.31 02:16:13.249 -00:38:23.69 33.6514781866 -0.771447354397 
2025-09-25T20:41:44.006 22:24:28.50 02:16:14.166 -00:38:22.62 33.6414672812 -0.769260046172 
2025-09-25T17:55:55.520 19:38:12.52 19:48:21.261 -28:58:26.75 296.676816586 -28.9993390087 
2025-09-25T19:58:23.044 21:41:00.48 21:30:32.989 -25:55:11.33 322.256137368 -26.0013286196 
2025-09-26T02:35:16.334 04:18:58.63 04:55:11.388 -33:59:45.90 73.5399991648 -33.9993872202 
2025-09-28T19:37:55.701 21:32:19.50 21:42:46.749 -31:29:22.71 325.301457522 -31.5653261642 
2025-09-28T01:26:10.351 03:17:34.57 03:07:37.278 -31:14:53.09 46.6291355965 -31.3201638265 
2025-09-28T19:56:46.015 21:51:12.77 20:45:31.019 -10:38:14.42 311.045224519 -10.7242365277 
2025-09-28T19:58:11.587 21:52:38.74 20:45:30.700 -10:38:14.36 311.045232639 -10.7241519048 
2025-09-28T17:36:48.992 19:30:52.75 21:35:49.410 -28:20:34.79 323.5197273 -28.4243633889 
2025-09-28T02:20:30.309 04:12:03.70 01:22:20.266 -33:57:05.01 20.3499394029 -34.054586128 
2025-09-28T02:18:05.612 04:09:38.51 01:22:20.603 -33:57:05.30 20.3497633084 -34.0546950852 
2025-09-29T18:00:49.441 19:58:53.84 22:33:50.815 -30:15:55.17 338.036583312 -30.3578888981 
2025-09-29T21:38:28.568 23:37:08.49 23:37:20.018 -20:52:48.08 353.987116975 -21.002608179 
2025-09-29T18:43:29.602 20:41:40.86 22:32:39.775 -28:20:28.82 337.75131409 -28.4390634061 
2025-09-30T01:49:12.744 03:48:34.11 03:45:06.916 -37:19:02.91 56.0334094788 -37.3606383292 
2025-09-30T17:55:49.607 19:57:49.63 16:38:21.863 -53:52:12.43 249.150507934 -53.757123375 
2025-09-30T19:06:18.898 21:08:30.71 01:22:53.817 -33:57:34.03 20.3296024833 -34.0565743046 
2025-09-30T20:15:30.002 22:17:52.84 00:21:40.156 +08:40:15.30 5.02150440852 8.50643731793 
2025-09-30T20:38:25.874 22:40:52.75 23:31:23.736 -30:20:56.82 352.470073217 -30.4533963766 
2025-09-27T01:53:56.360 03:41:28.75 02:15:51.212 -00:37:37.60 33.6461059951 -0.76196211645 
2025-09-27T01:57:02.304 03:44:35.36 02:15:50.962 -00:37:37.10 33.6482268582 -0.76185954674 
2025-09-27T01:42:09.311 03:29:48.59 01:25:52.682 +05:32:11.37 21.1551589594 5.37497094875 
2025-09-27T01:43:02.842 03:30:42.14 01:25:52.590 +05:32:11.38 21.1556129867 5.37499987502 
2025-09-27T01:43:10.833 03:30:50.42 01:25:52.576 +05:32:11.38 21.155748529 5.37499858183 
2025-09-27T01:44:04.067 03:31:43.42 01:25:52.486 +05:32:11.38 21.1562090771 5.37494646967 
2025-09-27T01:44:44.339 03:32:23.69 01:25:52.417 +05:32:11.39 21.1565694198 5.37507359046 
2025-09-30T22:45:41.702 00:48:29.30 00:36:06.408 -26:53:11.27 8.69200771731 -27.0005099438 
2025-10-01T01:02:09.572 03:05:28.48 00:35:55.451 -00:26:00.54 8.68085340108 -0.588434675922 
2025-10-01T01:02:50.864 03:06:09.86 00:35:55.197 -00:26:00.82 8.6810330998 -0.588364500399 
2025-10-01T01:02:34.775 03:05:54.01 00:35:55.276 -00:26:00.77 8.68092672389 -0.588574999875 
2025-10-01T01:03:39.758 03:06:58.65 00:35:54.954 -00:26:01.15 8.68084062785 -0.588479838954 
2025-10-01T01:04:18.284 03:07:37.04 00:35:54.799 -00:26:01.17 8.6807779082 -0.588387873669 
2025-10-01T01:03:47.749 03:07:06.74 00:35:54.918 -00:26:01.34 8.68067416485 -0.588562214217 
2025-09-30T20:54:58.673 22:57:27.97 21:13:59.777 -57:14:13.37 318.05662174 -57.2728426866 
2025-09-30T20:41:50.458 22:44:17.66 21:14:00.968 -57:14:14.72 318.048390606 -57.2736675516 
2025-09-26T00:01:05.525 01:44:22.75 01:34:53.938 +10:36:05.78 23.3671953481 10.4471968218 
2025-09-26T00:35:40.924 02:19:04.02 02:01:01.564 -28:54:20.94 29.9617840996 -28.9988666967 
2025-09-25T20:54:02.260 22:36:48.75 02:16:13.441 -00:38:23.49 33.6497647403 -0.77097250631 
2025-09-25T20:43:09.718 22:25:54.20 02:16:13.860 -00:38:21.21 33.6415076889 -0.769113823185 
2025-09-25T20:44:52.815 22:27:37.68 02:16:13.983 -00:38:22.85 33.6438904365 -0.76991325963 
2025-09-25T23:41:54.595 01:25:08.39 04:43:03.845 -02:48:48.44 70.3665400498 -2.87047003893 
2025-09-27T01:52:10.891 03:39:42.60 02:15:51.144 -00:37:38.61 33.6435780658 -0.762371567157 
2025-09-26T18:41:47.362 20:28:08.41 20:45:40.673 -10:38:03.55 311.038983689 -10.7259663684 
2025-09-27T01:42:17.612 03:29:56.78 01:25:52.668 +05:32:11.38 21.1550598469 5.37508473391 
2025-09-27T01:42:49.586 03:30:29.04 01:25:52.613 +05:32:11.38 21.15547087 5.37501919726 
2025-09-27T01:44:20.160 03:31:59.26 01:25:52.459 +05:32:11.39 21.1564930265 5.3750026672 
2025-09-27T01:44:28.356 03:32:07.64 01:25:52.444 +05:32:11.39 21.1564550671 5.37510486778 
2025-09-28T02:12:57.761 04:04:29.71 01:22:20.983 -33:57:05.92 20.3482925877 -34.0550165915 
2025-09-28T02:08:54.571 04:00:25.82 01:22:20.973 -33:57:07.46 20.3454797673 -34.0554898268 
2025-09-27T21:09:55.054 23:00:37.45 23:18:19.961 -39:17:51.14 349.207676374 -39.3981350288 
2025-09-28T01:36:13.262 03:27:39.16 03:52:24.400 -30:57:00.62 57.8215439047 -31.0002617084 
2025-09-28T01:41:04.122 03:32:30.87 01:22:23.465 -33:57:09.83 20.3345790096 -34.0567359236 
2025-09-28T17:27:06.752 19:21:09.15 18:44:56.816 -21:01:11.61 280.853309655 -21.0262137338 
2025-09-28T19:47:37.632 21:42:02.70 20:45:31.472 -10:38:16.73 311.037695241 -10.7250033199 
2025-09-30T17:57:36.047 19:59:36.13 16:38:21.433 -53:52:12.36 249.15049139 -53.7571235625 
