Longitude = 20.813deg Latitude = -32.383deg
Date Time MountAz MountAlt ActualAz ActualAlt
2024-10-11 23:59:35 107.451646 -49.658303 107.152699 -49.544344
2024-10-12 00:04:06 107.451271 -49.658667 107.154467 -49.544717
2024-10-12 00:05:03 107.451183 -49.658742 107.155257 -49.544858
2024-10-12 00:06:03 107.451088 -49.658822 107.155988 -49.544991
2024-10-12 00:06:50 107.451013 -49.658886 107.156548 -49.545099
2024-10-12 00:09:41 72.149029 17.040003 71.725106 16.999517
2024-10-12 00:20:08 72.137708 17.041156 71.725197 16.999799
2024-10-12 00:20:40 72.136946 17.040758 71.725145 16.999774
2024-10-12 00:21:11 72.136458 17.040681 71.725269 16.999747
2024-10-12 00:21:48 72.135846 17.040694 71.725105 16.999697
2024-10-12 00:22:20 72.135308 17.040719 71.725108 16.999675
2024-10-12 00:22:53 72.134746 17.040647 71.725093 16.999710
2024-10-12 00:48:28 52.291400 -28.969597 52.027965 -28.998743
2024-10-12 01:00:48 51.957708 -28.125114 51.694826 -28.157613
2024-10-12 01:02:06 54.475025 -36.332486 54.233364 -36.352856
2024-10-12 01:03:29 52.669842 -22.824806 52.394169 -22.857881
2024-10-12 01:04:50 45.680754 -29.809508 45.430712 -29.854121
2024-10-12 01:06:07 48.821433 -20.571675 48.546377 -20.616710
2024-10-12 01:07:25 50.050608 -39.596964 49.826697 -39.622267
2024-10-12 01:08:45 56.367942 -13.524089 56.066155 -13.561798
2024-10-12 01:10:03 74.143563 -39.421578 73.887603 -39.393484
2024-10-12 01:11:34 41.109596 -24.199622 40.856243 -24.252266
2024-10-12 01:12:50 52.060846 -12.511017 51.765458 -12.558932
2024-10-12 01:14:17 54.945737 -46.398861 54.749174 -46.406531
2024-10-12 01:15:40 71.250846 -22.311661 70.948100 -22.304007
2024-10-12 01:17:10 41.110796 -38.478594 40.895027 -38.522262
2024-10-12 01:18:29 44.738679 -13.724714 44.459408 -13.788182
2024-10-12 01:19:48 65.742354 -32.842161 65.479475 -32.842013
2024-10-12 01:21:21 34.575242 -30.446092 34.342600 -30.508736
2024-10-12 01:22:42 72.644288 -13.649589 72.317344 -13.650733
