1m0a.doma.lsc
Longitude = -70.8049deg Latitude = -30.1674deg
DATE-OBS LST TPT-RA TPT-DEC CRVAL1 CRVAL2
2025-09-27T06:46:47.419 02:28:39.87 04:07:10.718 +20:09:53.28 61.3946597257 20.0752810008 
2025-09-27T06:44:40.889 02:26:32.81 04:07:10.994 +20:09:53.93 61.3945842661 20.0751947575 
2025-09-27T07:09:50.855 02:51:46.35 03:34:36.544 -36:05:57.44 53.4062774123 -36.1372199661 
2025-09-27T07:13:09.400 02:55:05.64 03:34:36.292 -36:05:57.34 53.4075674706 -36.1371959739 
2025-09-27T07:14:05.189 02:56:01.55 03:34:36.199 -36:05:57.56 53.4075868688 -36.1372134774 
2025-09-27T07:08:55.197 02:50:50.98 03:34:36.656 -36:05:57.59 53.4062511386 -36.1372538514 
2025-09-27T08:40:35.099 04:22:46.22 04:11:24.125 -19:57:36.26 62.5704548517 -19.9979918496 
2025-09-27T07:48:18.679 03:30:20.85 01:28:54.609 +19:20:38.51 21.8949214103 19.183927369 
2025-09-28T00:23:35.884 20:08:21.91 22:41:59.756 +03:27:50.85 340.136483148 3.34394127898 
2025-09-27T06:03:03.622 01:44:48.70 05:20:47.415 -32:40:07.87 79.9151059391 -32.6573797468 
2025-09-27T07:25:39.459 03:07:37.93 01:28:55.017 +19:20:30.36 21.886063785 19.1826771446 
2025-09-27T07:21:06.945 03:03:04.92 01:28:55.219 +19:20:29.73 21.8845934396 19.182880302 
2025-09-27T09:20:14.266 05:02:31.60 04:07:03.555 +20:09:53.29 61.3914856009 20.0730253066 
2025-09-27T09:21:14.887 05:03:32.74 04:07:03.372 +20:09:53.15 61.3916229023 20.0728831841 
2025-09-27T09:17:37.925 04:59:54.94 04:07:03.817 +20:09:52.80 61.3913282222 20.0727215312 
2025-09-27T09:18:38.236 05:00:55.17 04:07:03.723 +20:09:53.48 61.3914123234 20.0727696207 
2025-09-27T06:50:23.732 02:32:16.78 04:07:10.171 +20:09:53.59 61.3946956405 20.0751760772 
2025-09-27T06:49:53.678 02:31:46.69 04:07:10.244 +20:09:53.41 61.3946755841 20.0751857638 
2025-09-28T03:05:07.228 22:50:19.87 21:13:44.633 -57:15:34.84 318.050274189 -57.2716796924 
2025-09-28T06:02:49.711 01:48:31.52 05:20:45.238 -32:40:58.67 79.9040978616 -32.6527285918 
2025-09-28T06:04:57.081 01:50:38.99 05:20:45.186 -32:40:59.20 79.9051689226 -32.6530918457 
2025-09-28T06:14:16.800 01:59:59.75 05:20:44.924 -32:41:01.41 79.9096215676 -32.6540150312 
2025-09-28T06:16:24.440 02:02:08.43 05:20:44.857 -32:41:01.90 79.9103850874 -32.6543545411 
2025-09-28T09:23:30.278 05:09:44.34 04:07:01.684 +20:08:54.10 61.3912233237 20.0707863161 
2025-09-28T09:23:00.117 05:09:14.79 04:07:01.762 +20:08:54.39 61.3913553646 20.0709466044 
2025-09-28T09:19:48.366 05:06:02.08 04:07:02.180 +20:08:54.23 61.3913521123 20.0708085541 
2025-09-28T06:40:20.289 02:26:07.77 04:07:10.609 +20:08:55.11 61.4000357169 20.0751135558 
2025-09-28T06:41:20.593 02:27:08.38 04:07:10.407 +20:08:55.02 61.4000026978 20.0749716197 
2025-09-28T07:26:48.371 03:12:43.60 03:56:27.088 -28:08:19.21 58.844974603 -28.1554361069 
2025-09-28T23:32:06.591 19:20:40.70 19:28:15.236 -34:04:08.64 291.659044642 -34.071698775 
2025-09-29T00:42:22.835 20:31:08.03 21:47:48.954 -25:52:35.62 326.56960096 -25.9572605227 
2025-09-29T01:08:18.035 20:57:07.76 23:04:41.455 +09:01:25.25 345.818458492 8.87791820104 
2025-09-29T01:15:09.368 21:04:00.53 23:04:41.096 +09:01:24.68 345.820829882 8.8777435249 
2025-09-29T01:12:30.935 21:01:21.16 23:04:41.280 +09:01:24.92 345.820016615 8.87787378803 
2025-09-29T03:01:15.484 22:50:23.41 00:55:02.581 +12:50:36.77 13.3926866485 12.6918856575 
2025-09-29T03:12:45.442 23:01:55.64 00:55:02.055 +12:50:35.26 13.3972281474 12.6909476314 
2025-09-29T03:13:55.781 23:03:06.38 00:55:02.043 +12:50:35.11 13.3979360761 12.6909324208 
2025-09-29T04:21:47.612 00:11:09.19 03:56:37.417 -28:06:57.41 58.8462812499 -28.1581051715 
2025-09-29T04:12:32.409 00:01:52.57 03:56:37.698 -28:06:52.25 58.8422996494 -28.1559765355 
2025-09-29T04:30:34.732 00:19:57.46 03:56:37.405 -28:07:00.38 58.8505430581 -28.159342593 
2025-09-29T09:03:44.608 04:53:52.47 03:03:43.718 -18:49:02.77 45.6598125605 -18.894488675 
2025-09-29T07:42:05.884 03:32:00.34 02:44:19.461 -20:55:12.33 40.8028061631 -20.9992126259 
2025-09-29T09:22:04.968 05:12:15.55 04:07:02.348 +20:09:58.73 61.3902167962 20.0753712965 
2025-09-29T07:10:51.044 03:00:40.50 05:20:39.711 -32:40:27.71 79.8953373409 -32.6575426745 
2025-09-29T07:15:03.128 03:04:53.10 05:20:39.451 -32:40:28.11 79.8967655283 -32.6576844822 
2025-09-30T02:37:23.404 22:30:24.45 21:50:03.634 -13:12:18.91 327.190945491 -13.2874645154 
2025-09-29T23:32:48.744 19:25:19.41 19:21:06.017 -24:02:18.17 289.896848421 -24.0328726941 
2025-09-30T04:02:52.858 23:56:07.82 23:57:52.138 -87:10:58.42 0.232315412127 -87.1830236013 
2025-09-30T02:15:05.544 22:08:02.79 21:50:04.814 -13:12:23.07 327.185993517 -13.2880019944 
2025-09-27T01:08:28.987 20:49:25.43 20:49:19.548 -25:30:15.04 311.957553113 -25.5576959857 
2025-09-27T02:51:47.080 22:33:09.70 00:48:52.597 +06:23:52.25 11.8478120874 6.25385683666 
2025-09-27T02:51:55.082 22:33:17.52 00:48:52.551 +06:23:51.83 11.8478205516 6.25351316492 
2025-09-27T02:52:56.827 22:34:19.30 00:48:52.366 +06:23:52.68 11.8479180825 6.25369641301 
2025-09-27T02:53:12.814 22:34:35.78 00:48:52.300 +06:23:52.47 11.84773268 6.25382635262 
2025-09-27T01:20:49.831 21:01:48.62 19:46:18.192 -31:59:04.34 296.20861297 -32.0003739532 
2025-09-27T02:34:10.390 22:15:29.91 00:39:45.219 -00:11:58.26 9.56823614636 -0.336392930025 
2025-09-27T02:34:26.379 22:15:45.75 00:39:45.148 -00:11:58.49 9.56800384345 -0.336541141822 
2025-09-30T08:13:17.623 04:07:14.03 05:20:33.199 -32:41:20.38 79.8917960089 -32.6559752049 
