Longitude = -110.95deg Latitude = 32.18deg
Date Time MountAz MountAlt ActualAz ActualAlt Pressure Count Temperature
2021-01-01 00:00:00 188.1 44.7 188.3 44.7 48.6 True 11
2021-01-01 01:00:00 176.9 40.1 177.0 40.2 51.42 False 27
2021-01-01 02:00:00 177.4 46.0 177.2 46.5 53.12 False 18
2021-01-01 03:00:00 174.6 44.4 174.3 45.1 57.69 False 63
2021-01-01 04:00:00 184.3 42.0 183.3 42.3 55.84 False 2
2021-01-01 05:00:00 168.5 43.3 168.8 43.1 67.89 True 18
2021-01-01 06:00:00 188.7 43.3 188.5 43.6 49.75 False 22
2021-01-01 07:00:00 176.2 46.2 176.3 45.8 64.9 True 12
2021-01-01 08:00:00 181.6 46.1 181.9 46.2 46.79 False 5
2021-01-01 09:00:00 178.8 48.0 178.4 48.9 55.61 False 88
2021-01-01 10:00:00 187.3 46.3 187.8 47.0 52.71 False 19
