DATE-OBS LST OBS-RA OBS-DEC CRVAL1 CRVAL2
2026-01-04T01:40:41.408 00:03:24.16 07:57:10.900 +78:28:12.85 119.2670552 78.5561284
2026-01-03T06:12:37.938 00:05:22.39 03:30:47.395 +20:50:55.90 52.7363855 20.9270176
2026-01-04T01:40:41.408 00:02:48.59 03:02:34.577 +78:06:02.30 45.6494684 78.1803717
2026-01-04T01:40:41.408 00:19:12.92 09:06:49.597 +38:42:39.66 136.7161718 38.7617119
2026-01-04T01:40:41.408 00:08:09.41 21:41:07.989 +64:34:46.94 325.2579351 64.6197338
2026-01-03T06:12:37.938 00:06:10.19 03:04:05.639 +47:04:59.22 46.0539020 47.1317784
2026-01-04T01:40:41.408 00:17:43.06 08:02:27.321 +44:43:41.61 120.6114419 44.7781318
2026-01-04T01:40:41.408 00:10:57.95 14:29:04.318 +24:24:25.42 217.2621123 24.4537709
2026-01-04T01:40:41.408 00:19:32.76 00:43:31.573 +22:50:52.44 10.9321442 22.9148998
2026-01-03T06:12:37.938 00:09:43.24 02:25:44.054 +42:13:46.13 36.4742205 42.2666244
2026-01-04T01:40:41.408 00:19:10.88 23:51:28.480 +50:49:51.89 357.8821625 50.8715762
2026-01-04T01:40:41.408 00:12:07.77 18:11:16.890 +55:07:27.05 272.8417294 55.1502256
2026-01-04T01:40:41.408 00:26:21.62 01:09:03.023 +85:15:12.94 17.2956866 85.3211304
2026-01-03T06:12:37.938 00:31:10.46 19:19:06.009 +60:44:23.04 289.7929651 60.7765570
2026-01-04T01:40:41.408 00:32:24.96 09:26:23.902 +32:01:31.96 141.6228764 32.0900407
2026-01-03T06:12:37.938 00:39:20.15 08:50:56.070 +78:54:22.01 132.7323811 78.9885585
2026-01-04T01:40:41.408 00:23:24.26 19:53:48.564 +30:45:09.38 298.4859191 30.7767607
2026-01-03T06:12:37.938 00:26:53.98 06:27:25.920 +86:37:06.85 96.8180739 86.6908281
2026-01-03T06:12:37.938 00:32:14.43 06:15:19.731 +60:17:02.02 93.7961744 60.3587517
2026-01-04T01:40:41.408 00:38:24.43 06:58:42.002 +58:19:23.86 104.6519417 58.3794792
2026-01-04T01:40:41.408 00:33:21.36 17:55:30.815 +29:23:55.21 268.9338000 29.4291798
2026-01-04T01:40:41.408 00:43:28.18 05:41:48.564 +63:22:55.63 85.4140025 63.4580059
